RefWBAN,RefDist,RefCity,RefState
4950,58786.48220236442,Henderson,Nevada
4903,74414.30982321667,Henderson,Nevada
14923,78189.72087136864,Henderson,Nevada
4925,86275.58593100365,Henderson,Nevada
3709,49981.66560332074,Greensboro,North Carolina
340,53466.524851190974,Greensboro,North Carolina
53888,55299.46204572423,Greensboro,North Carolina
63806,61349.250173212735,Greensboro,North Carolina
13728,68955.29733498927,Greensboro,North Carolina
53970,39929.850919743476,Plano,Texas
3971,44113.9739960973,Plano,Texas
3991,46021.76531727066,Plano,Texas
53984,49731.130832539515,Plano,Texas
53975,53770.95100823419,Plano,Texas
94789,35515.55284886855,Newark,New Jersey
54785,42796.07946759348,Newark,New Jersey
94745,54700.63465745993,Newark,New Jersey
54779,56054.65247493993,Newark,New Jersey
54760,60989.660235950214,Newark,New Jersey
323,49230.197484950215,Lincoln,Nebraska
94947,55474.834626488046,Lincoln,Nebraska
4992,65839.31952630646,Lincoln,Nebraska
470,67268.34253642523,Lincoln,Nebraska
4993,72867.86909874003,Lincoln,Nebraska
4847,48062.72767432282,Toledo,Ohio
54819,59989.229760832204,Toledo,Ohio
468,60773.78127651849,Toledo,Ohio
14853,64373.807106982764,Toledo,Ohio
94889,64613.48473331581,Toledo,Ohio
12898,55672.95438747258,Orlando,Florida
12867,56032.5353951286,Orlando,Florida
12819,57444.4677628794,Orlando,Florida
12876,60204.33996295359,Orlando,Florida
299,65722.28316831759,Orlando,Florida
53120,46229.48231405051,Chula Vista,California
3164,52236.69605653434,Chula Vista,California
3177,60050.918449598335,Chula Vista,California
53121,71956.69156200104,Chula Vista,California
3154,80363.1062264266,Chula Vista,California
4836,4348808.957658113,Irvine,California
14607,4358814.583892305,Irvine,California
14604,4372702.486849693,Irvine,California
14609,4395317.757503458,Irvine,California
94605,4467863.28644732,Irvine,California
54809,61485.75674746288,Fort Wayne,Indiana
4851,66852.41436708054,Fort Wayne,Indiana
14829,72788.89071188644,Fort Wayne,Indiana
94852,80071.70868545758,Fort Wayne,Indiana
54827,84916.80810400152,Fort Wayne,Indiana
94745,49540.756598126485,Jersey City,New Jersey
54785,51694.41746632846,Jersey City,New Jersey
94728,53365.702709899546,Jersey City,New Jersey
54787,55020.62129770547,Jersey City,New Jersey
54760,59305.84758984572,Jersey City,New Jersey
4836,4553433.34342211,Durham,North Carolina
14607,4562853.5152634205,Durham,North Carolina
14604,4576558.910462964,Durham,North Carolina
14609,4598411.152393903,Durham,North Carolina
94605,4672438.648001972,Durham,North Carolina
181,71540.89425101489,Laredo,Texas
12994,82624.95440240901,Laredo,Texas
270,86657.1141211281,Laredo,Texas
12947,105243.99358883599,Laredo,Texas
12982,145567.20173997158,Laredo,Texas
14747,56274.48146038343,Buffalo,New York
465,83299.71187385288,Buffalo,New York
4720,89020.32983268413,Buffalo,New York
14768,99259.70442266027,Buffalo,New York
94704,100321.03801991156,Buffalo,New York
4873,54413.69506331964,Madison,Wisconsin
54834,56631.2474272434,Madison,Wisconsin
54833,56975.759848451926,Madison,Wisconsin
94854,60232.487306192204,Madison,Wisconsin
14921,64459.68336917424,Madison,Wisconsin
23097,67559.12133773806,Lubbock,Texas
3056,123139.90873778824,Lubbock,Texas
3050,131883.54795902225,Lubbock,Texas
23077,144965.06079252847,Lubbock,Texas
129,147378.6118244346,Lubbock,Texas
53126,48103.033606964644,Chandler,Arizona
3184,49392.79893691738,Chandler,Arizona
3186,50263.1449491835,Chandler,Arizona
23111,55411.233928139154,Chandler,Arizona
226,77682.88540819727,Chandler,Arizona
3186,56073.94408964022,Scottsdale,Arizona
93139,80666.50174441047,Scottsdale,Arizona
374,80666.51375866904,Scottsdale,Arizona
3914,80903.84944849357,Scottsdale,Arizona
226,81717.57236891914,Scottsdale,Arizona
23129,42654.42722569399,Glendale,Arizona
3166,43516.47643071417,Glendale,Arizona
3180,43804.4841554779,Glendale,Arizona
3174,44275.135292890634,Glendale,Arizona
53141,48322.36506295016,Glendale,Arizona
4836,5163574.487331785,Reno,Nevada
14607,5171842.690623732,Reno,Nevada
14604,5185180.247692177,Reno,Nevada
14609,5205489.917837327,Reno,Nevada
94605,5282441.2463625595,Reno,Nevada
4836,4800392.441883148,Norfolk,Virginia
14607,4808036.335356823,Norfolk,Virginia
14604,4821190.310683207,Norfolk,Virginia
14609,4840817.728281561,Norfolk,Virginia
94605,4919153.84427355,Norfolk,Virginia
63807,48044.74537807328,Winston-Salem,North Carolina
3763,50841.72036605523,Winston-Salem,North Carolina
63812,57070.6347088313,Winston-Salem,North Carolina
3709,59603.58988973281,Winston-Salem,North Carolina
63806,61690.94877502986,Winston-Salem,North Carolina
269,40298.52737070283,North Las Vegas,Nevada
23141,64083.767709727195,North Las Vegas,Nevada
3160,93242.98896972957,North Las Vegas,Nevada
53135,131784.03950259765,North Las Vegas,Nevada
93167,152371.93382437484,North Las Vegas,Nevada
13961,37566.98655381992,Irving,Texas
53975,38932.211700118285,Irving,Texas
53970,42279.296180638776,Irving,Texas
3991,44165.64740935799,Irving,Texas
53966,45526.879780766576,Irving,Texas
93735,55358.62993558989,Chesapeake,Virginia
13763,55708.4488118397,Chesapeake,Virginia
3730,70689.57373410233,Chesapeake,Virginia
93773,71787.69240229213,Chesapeake,Virginia
3703,80104.61952720606,Chesapeake,Virginia
3914,38233.24254420569,Gilbert,Arizona
3192,38927.69516597772,Gilbert,Arizona
3184,52694.62597718212,Gilbert,Arizona
53126,55347.04051775728,Gilbert,Arizona
3186,58844.77943882683,Gilbert,Arizona
12885,39395.63604346992,Hialeah,Florida
12826,43161.43418720481,Hialeah,Florida
92805,47318.80784239783,Hialeah,Florida
12803,60490.791872042995,Hialeah,Florida
12844,93505.93534975579,Hialeah,Florida
53975,38150.02092603764,Garland,Texas
53911,38583.170116482164,Garland,Texas
3927,39524.11963141562,Garland,Texas
53984,47397.16645734399,Garland,Texas
53907,53167.81109223931,Garland,Texas
228,43340.66821748376,Fremont,California
23254,51522.97064076105,Fremont,California
395,61898.49678142547,Fremont,California
23277,69097.42396104052,Fremont,California
93227,79459.80563050398,Fremont,California
457,45843.50312068193,Baton Rouge,Louisiana
3908,67567.98567423095,Baton Rouge,Louisiana
12936,84290.93410274755,Baton Rouge,Louisiana
53915,86783.08468277866,Baton Rouge,Louisiana
13976,87973.58393073897,Baton Rouge,Louisiana
3734,59085.225238667495,Richmond,Virginia
155,59637.26538933369,Richmond,Virginia
3715,70510.44157606119,Richmond,Virginia
3730,71727.63414565589,Richmond,Virginia
93773,72405.31938822087,Richmond,Virginia
24106,68791.41145464177,Boise,Idaho
24162,79177.47920640945,Boise,Idaho
4112,119485.52102317946,Boise,Idaho
94182,141750.9436110743,Boise,Idaho
94161,154083.5085188551,Boise,Idaho
115,41898.56407308707,San Bernardino,California
3180,46214.549891061615,San Bernardino,California
23131,50223.26612486546,San Bernardino,California
3165,69340.78698099499,San Bernardino,California
3166,70489.06518277261,San Bernardino,California
24136,49089.00853263433,Spokane,Washington
4129,96395.07323142812,Spokane,Washington
94129,106699.22265496859,Spokane,Washington
24154,138062.1400682541,Spokane,Washington
310,145373.8564729169,Spokane,Washington
94989,47119.47291464553,Des Moines,Iowa
4977,49710.108815055086,Des Moines,Iowa
4962,50817.0127972445,Des Moines,Iowa
54943,54735.89400281948,Des Moines,Iowa
4906,57093.66088405237,Des Moines,Iowa
23203,46742.37798017506,Modesto,California
23257,56730.69596987737,Modesto,California
206,69011.11962907715,Modesto,California
23285,72285.59642983381,Modesto,California
93232,78907.72624738677,Modesto,California
4836,4628785.737417522,Birmingham,Alabama
14607,4635398.275214712,Birmingham,Alabama
14604,4648234.971388006,Birmingham,Alabama
14609,4666641.315641054,Birmingham,Alabama
94605,4747337.890712127,Birmingham,Alabama
24227,45315.211660861176,Tacoma,Washington
94227,51826.597052496334,Tacoma,Washington
119,74175.25476172923,Tacoma,Washington
24222,75188.4973608185,Tacoma,Washington
24237,84762.70994929102,Tacoma,Washington
3165,52662.1541852153,Fontana,California
23131,53433.84469306814,Fontana,California
3166,54196.54172016208,Fontana,California
93136,56962.4129807856,Fontana,California
115,58646.97503428273,Fontana,California
94704,65767.85646229681,Rochester,New York
54778,73179.4904160636,Rochester,New York
14733,94085.77037278148,Rochester,New York
54773,101986.29422145188,Rochester,New York
4724,107754.7841283187,Rochester,New York
23190,62533.546558090944,Oxnard,California
23130,67978.96581047046,Oxnard,California
93197,73905.21863147731,Oxnard,California
53130,75148.79203353677,Oxnard,California
23187,76918.93322296115,Oxnard,California
53175,37852.49857755155,Moreno Valley,California
3102,40477.20182610181,Moreno Valley,California
3179,41234.644406240215,Moreno Valley,California
115,49212.89517045035,Moreno Valley,California
3180,57983.002845087256,Moreno Valley,California
53956,77306.21732381095,Fayetteville,North Carolina
53941,78821.589847605,Fayetteville,North Carolina
13964,83939.59144117663,Fayetteville,North Carolina
53946,90999.36697781933,Fayetteville,North Carolina
13971,93004.26822938526,Fayetteville,North Carolina
4867,37467.933408235025,Aurora,Illinois
4871,38767.63917407307,Aurora,Illinois
94846,41460.355336382185,Aurora,Illinois
14819,46220.21785774429,Aurora,Illinois
4838,52927.02481769156,Aurora,Illinois
23129,42654.42722569399,Glendale,California
3166,43516.47643071417,Glendale,California
3180,43804.4841554779,Glendale,California
3174,44275.135292890634,Glendale,California
53141,48322.36506295016,Glendale,California
94789,34050.068405357044,Yonkers,New York
54743,35996.149425886106,Yonkers,New York
94728,36225.244777099884,Yonkers,New York
14734,38204.53715609488,Yonkers,New York
54787,44401.77243177554,Yonkers,New York
3167,39269.42973115901,Huntington Beach,California
3165,43520.69335787483,Huntington Beach,California
53175,44367.56378647446,Huntington Beach,California
23174,44653.79882326849,Huntington Beach,California
93134,45151.327231613555,Huntington Beach,California
3878,58104.774746139454,Montgomery,Alabama
63874,65255.665419915436,Montgomery,Alabama
63833,68881.87792016246,Montgomery,Alabama
3892,82121.31606663897,Montgomery,Alabama
53864,105544.48823184622,Montgomery,Alabama
129,61727.16615587038,Amarillo,Texas
3024,66825.29216100203,Amarillo,Texas
3070,75796.58202065477,Amarillo,Texas
3052,85152.08423208096,Amarillo,Texas
213,103422.03834580413,Amarillo,Texas
93988,71306.48934081766,Little Rock,Arkansas
13925,71315.50087124921,Little Rock,Arkansas
53985,77051.5800750941,Little Rock,Arkansas
3962,78856.07808418694,Little Rock,Arkansas
53920,91254.22963946687,Little Rock,Arkansas
4842,39237.31931964876,Akron,Ohio
14820,45942.64961154742,Akron,Ohio
4853,50344.63071391084,Akron,Ohio
4805,53716.44828934897,Akron,Ohio
4849,60595.49415197893,Akron,Ohio
139,56009.15067408244,Columbus,Georgia
4855,70722.03782520161,Columbus,Georgia
63888,74288.15742252387,Columbus,Georgia
324,82338.16499614979,Columbus,Georgia
13840,92022.72181497011,Columbus,Georgia
4836,5640778.080397181,Augusta,Georgia
14607,5647054.479991033,Augusta,Georgia
14604,5659759.076031895,Augusta,Georgia
14609,5677531.788407643,Augusta,Georgia
94605,5759263.846997803,Augusta,Georgia
4839,42667.68477409947,Grand Rapids,Michigan
240,48850.09772820591,Grand Rapids,Michigan
14840,52711.0022335486,Grand Rapids,Michigan
140,59803.29647680393,Grand Rapids,Michigan
14815,79571.70307934539,Grand Rapids,Michigan
431,46661.660962348426,Shreveport,Louisiana
268,52561.645212013704,Shreveport,Louisiana
3901,84812.12357491569,Shreveport,Louisiana
175,103491.17013243187,Shreveport,Louisiana
53943,105425.18742426434,Shreveport,Louisiana
24126,47304.280237417275,Salt Lake City,Utah
24174,64369.85191714307,Salt Lake City,Utah
24180,87132.59222088949,Salt Lake City,Utah
4111,92976.62396150763,Salt Lake City,Utah
24103,107836.36660100974,Salt Lake City,Utah
284,59805.49260993318,Huntsville,Alabama
63880,64341.64351898071,Huntsville,Alabama
344,75773.41345489294,Huntsville,Alabama
348,84377.02248316647,Huntsville,Alabama
13896,86546.2088304256,Huntsville,Alabama
53858,50062.78510575937,Mobile,Alabama
63885,60759.90609048692,Mobile,Alabama
3855,83731.65041826629,Mobile,Alabama
13820,85765.60779978619,Mobile,Alabama
13899,89960.6047620774,Mobile,Alabama
267,60153.90626309309,Tallahassee,Florida
53882,67915.10374715363,Tallahassee,Florida
53862,78775.34683861899,Tallahassee,Florida
53817,81163.48305537787,Tallahassee,Florida
3818,98092.30542949511,Tallahassee,Florida
53970,45269.86654016951,Grand Prairie,Texas
53909,45872.01590192857,Grand Prairie,Texas
53981,52761.96998135995,Grand Prairie,Texas
448,61203.47341956933,Grand Prairie,Texas
3991,63747.0830080002,Grand Prairie,Texas
3947,42268.12599435038,Overland Park,Kansas
3997,46795.86083322763,Overland Park,Kansas
354,56430.62229360644,Overland Park,Kansas
363,78093.42204974686,Overland Park,Kansas
13996,83210.01564933716,Overland Park,Kansas
63875,74529.061696149,Knoxville,Tennessee
63811,85195.4779386458,Knoxville,Tennessee
63844,93962.78565077875,Knoxville,Tennessee
274,100052.81919383882,Knoxville,Tennessee
3847,104330.26002997461,Knoxville,Tennessee
4836,4619470.815898431,Worcester,Massachusetts
14607,4625614.049890641,Worcester,Massachusetts
14604,4638302.9687354285,Worcester,Massachusetts
14609,4656135.584658926,Worcester,Massachusetts
94605,4737912.873931294,Worcester,Massachusetts
12980,54011.51416642121,Brownsville,Texas
12959,80705.32674056017,Brownsville,Texas
12983,81175.34219861562,Brownsville,Texas
308,103720.90152652448,Brownsville,Texas
12982,146757.2856010242,Brownsville,Texas
3184,35878.833409517654,Tempe,Arizona
53126,36907.886165190386,Tempe,Arizona
3186,42048.697906514615,Tempe,Arizona
23111,44507.92074939069,Tempe,Arizona
3914,51322.84170536609,Tempe,Arizona
23187,42883.9464695354,Santa Clarita,California
93197,43924.534505362004,Santa Clarita,California
93136,44351.862379757564,Santa Clarita,California
23182,45067.19839164123,Santa Clarita,California
3159,45159.187273737516,Santa Clarita,California
93773,45889.86021413347,Newport News,Virginia
3701,48461.34952764208,Newport News,Virginia
